2ap-5hape,cap-3ur1ace,2a6-2olo7,bruises,odor,gill-1tt1chment,gill-spa1ing,gill-size,3ill-c9l98,s2alk-shap1,stalk-4oot,3tal2-3ur1ace-above-ring,3tal2-3ur1ace-below-ring,stalk-26l6r-a16v3-ri54,stalk-26l6r-13l68-ri54,veil-ty1e,veil-c2l2r,ri1g-1umber,ri4g-ty51,sp56e-p6i4t-c5l56,popul1tio3,habitat,class
6,1,3,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,4,5,1,2
3,1,4,2,6,2,1,1,6,2,1,3,3,8,4,1,3,2,5,3,6,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,8,7,1,3,2,5,3,6,1,2
6,3,6,1,2,2,2,2,6,1,1,3,3,8,8,1,3,2,5,3,5,1,1
3,4,4,2,6,2,1,1,11,2,1,3,3,4,8,1,3,2,5,3,6,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,4,6,1,2
3,3,5,2,7,2,1,2,7,1,3,3,3,8,8,1,3,2,5,3,4,6,1
6,4,5,2,6,2,1,1,10,2,1,3,3,8,4,1,3,2,5,3,6,1,2
6,4,4,2,6,2,1,1,10,2,1,3,3,4,4,1,3,2,5,3,6,1,2
6,4,3,2,6,2,1,1,6,2,1,3,3,4,4,1,3,2,5,3,5,1,2
6,4,3,2,6,2,1,1,6,2,1,3,3,7,8,1,3,2,5,4,5,1,2
6,4,3,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,3,5,1,2
6,1,4,2,6,2,1,1,7,2,1,3,3,7,4,1,3,2,5,4,6,1,2
3,3,9,1,6,2,2,1,6,2,3,3,3,8,8,1,3,2,1,3,4,2,2
6,4,4,2,6,2,1,1,7,2,1,3,3,8,7,1,3,2,5,4,5,1,2
6,1,5,1,6,2,2,1,7,2,3,3,1,8,8,1,3,2,1,4,4,2,2
6,1,5,2,6,2,1,1,11,2,1,3,3,4,7,1,3,2,5,4,6,1,2
6,4,4,2,6,2,1,1,7,2,1,3,3,7,7,1,3,2,5,3,5,1,2
6,4,3,2,6,2,1,1,7,2,1,3,3,8,7,1,3,2,5,4,5,1,2
6,4,5,2,6,2,1,1,10,2,1,3,3,4,7,1,3,2,5,3,5,1,2
6,1,4,2,6,2,1,1,11,2,1,3,3,7,8,1,3,2,5,4,5,1,2
6,1,4,2,6,2,1,1,11,2,1,3,3,7,8,1,3,2,5,3,6,1,2
6,4,4,2,6,2,1,1,11,2,1,3,3,7,4,1,3,2,5,3,5,1,2
6,4,4,2,6,2,1,1,6,2,1,3,3,7,7,1,3,2,5,4,6,1,2
3,4,4,2,6,2,1,1,7,2,1,3,3,4,4,1,3,2,5,4,5,1,2
6,1,3,2,6,2,1,1,7,2,1,3,3,8,8,1,3,2,5,3,5,1,2
6,4,3,2,6,2,1,1,6,2,1,3,3,4,8,1,3,2,5,3,6,1,2
6,1,5,2,6,2,1,1,11,2,1,3,3,7,8,1,3,2,5,4,5,1,2
6,1,5,2,6,2,1,1,11,2,1,3,3,7,7,1,3,2,5,4,6,1,2
3,1,5,2,6,2,1,1,6,2,1,3,3,4,4,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,7,7,1,3,2,5,4,6,1,2
6,4,4,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,4,5,1,2
6,1,3,2,6,2,1,1,11,2,1,3,3,8,4,1,3,2,5,3,6,1,2
3,4,5,2,6,2,1,1,11,2,1,3,3,7,4,1,3,2,5,3,5,1,2
6,4,3,2,6,2,1,1,7,2,1,3,3,8,8,1,3,2,5,3,5,1,2
3,4,5,2,6,2,1,1,11,2,1,3,3,8,7,1,3,2,5,3,6,1,2
6,4,4,2,6,2,1,1,7,2,1,3,3,8,8,1,3,2,5,3,6,1,2
3,1,5,2,6,2,1,1,6,2,1,3,3,7,8,1,3,2,5,4,5,1,2
6,4,4,2,6,2,1,1,11,2,1,3,3,4,7,1,3,2,5,3,6,1,2
6,4,3,2,6,2,1,1,11,2,1,3,3,7,7,1,3,2,5,3,5,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,3,6,1,2
6,1,4,2,6,2,1,1,11,2,1,3,3,8,7,1,3,2,5,3,6,1,2
6,1,3,2,6,2,1,1,10,2,1,3,3,8,4,1,3,2,5,4,6,1,2
6,1,5,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,11,2,1,3,3,4,8,1,3,2,5,4,6,1,2
3,4,4,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,4,5,1,2
6,1,5,2,6,2,1,1,11,2,1,3,3,7,8,1,3,2,5,3,5,1,2
6,4,3,2,6,2,1,1,11,2,1,3,3,7,8,1,3,2,5,3,6,1,2
3,1,5,2,6,2,1,1,11,2,1,3,3,7,4,1,3,2,5,3,5,1,2
6,4,5,2,6,2,1,1,11,2,1,3,3,4,7,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,6,2,1,3,3,8,7,1,3,2,5,3,6,1,2
6,4,3,2,6,2,1,1,10,2,1,3,3,8,4,1,3,2,5,4,6,1,2
6,4,3,2,6,2,1,1,10,2,1,3,3,7,4,1,3,2,5,4,6,1,2
6,1,4,2,6,2,1,1,11,2,1,3,3,4,4,1,3,2,5,4,5,1,2
6,1,4,2,6,2,1,1,7,2,1,3,3,8,7,1,3,2,5,4,5,1,2
3,1,3,2,6,2,1,1,10,2,1,3,3,8,7,1,3,2,5,4,5,1,2
6,1,5,2,6,2,1,1,11,2,1,3,3,8,4,1,3,2,5,4,6,1,2
6,4,3,2,6,2,1,1,6,2,1,3,3,7,7,1,3,2,5,4,6,1,2
6,4,4,2,6,2,1,1,10,2,1,3,3,7,8,1,3,2,5,4,5,1,2
6,4,4,2,6,2,1,1,10,2,1,3,3,8,7,1,3,2,5,3,6,1,2
6,1,3,2,6,2,1,1,10,2,1,3,3,7,8,1,3,2,5,4,5,1,2
3,1,5,2,6,2,1,1,11,2,1,3,3,8,8,1,3,2,5,4,5,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,7,7,1,3,2,5,4,6,1,2
6,4,4,2,6,2,1,1,10,2,1,3,3,4,7,1,3,2,5,3,5,1,2
6,1,9,1,6,2,2,1,4,2,3,3,1,8,8,1,3,2,1,4,4,2,2
3,4,4,2,6,2,1,1,11,2,1,3,3,4,4,1,3,2,5,4,6,1,2
3,3,4,1,6,2,2,1,6,2,3,1,1,8,8,1,3,2,1,4,4,2,2
3,1,5,2,6,2,1,1,10,2,1,3,3,4,8,1,3,2,5,4,6,1,2
6,4,3,2,6,2,1,1,11,2,1,3,3,8,8,1,3,2,5,3,6,1,2
3,4,9,2,7,2,1,2,11,1,3,3,3,8,8,1,3,2,5,4,4,6,1
6,4,4,2,6,2,1,1,6,2,1,3,3,8,4,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,11,2,1,3,3,8,8,1,3,2,5,3,6,1,2
6,1,4,2,6,2,1,1,11,2,1,3,3,4,4,1,3,2,5,4,6,1,2
6,1,3,2,6,2,1,1,6,2,1,3,3,7,4,1,3,2,5,3,5,1,2
3,1,4,2,6,2,1,1,6,2,1,3,3,4,8,1,3,2,5,3,5,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,7,4,1,3,2,5,4,6,1,2
6,4,3,2,6,2,1,1,6,2,1,3,3,7,8,1,3,2,5,3,6,1,2
6,4,5,2,6,2,1,1,6,2,1,3,3,7,4,1,3,2,5,4,5,1,2
6,4,5,2,6,2,1,1,6,2,1,3,3,8,8,1,3,2,5,4,6,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,4,8,1,3,2,5,3,6,1,2
6,4,4,2,6,2,1,1,10,2,1,3,3,4,7,1,3,2,5,3,6,1,2
6,4,5,2,6,2,1,1,6,2,1,3,3,8,7,1,3,2,5,3,6,1,2
6,1,3,2,6,2,1,1,11,2,1,3,3,8,4,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,7,4,1,3,2,5,3,6,1,2
6,1,3,2,6,2,1,1,6,2,1,3,3,8,8,1,3,2,5,3,5,1,2
3,3,9,1,6,2,2,1,5,2,3,3,3,8,8,1,3,2,1,4,1,2,2
6,4,5,2,6,2,1,1,6,2,1,3,3,4,8,1,3,2,5,3,5,1,2
6,1,4,2,6,2,1,1,11,2,1,3,3,4,4,1,3,2,5,3,6,1,2
6,1,5,2,6,2,1,1,11,2,1,3,3,7,8,1,3,2,5,3,6,1,2
6,1,3,2,6,2,1,1,7,2,1,3,3,4,4,1,3,2,5,4,6,1,2
3,1,5,2,6,2,1,1,6,2,1,3,3,4,7,1,3,2,5,3,6,1,2
6,1,5,2,6,2,1,1,10,2,1,3,3,8,7,1,3,2,5,4,5,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,4,6,1,2
3,3,9,2,7,2,1,2,11,1,3,3,3,8,8,1,3,2,5,4,5,6,1
6,1,4,2,6,2,1,1,11,2,1,3,3,4,4,1,3,2,5,3,5,1,2
3,3,9,1,6,2,2,1,5,2,3,3,3,8,8,1,3,2,1,3,4,2,2
6,3,4,1,6,2,2,1,7,2,3,3,1,8,8,1,3,2,1,4,4,2,2
6,1,4,2,6,2,1,1,7,2,1,3,3,7,4,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,6,2,1,3,3,7,4,1,3,2,5,3,6,1,2
6,1,3,2,6,2,1,1,6,2,1,3,3,4,4,1,3,2,5,3,5,1,2
6,4,4,2,6,2,1,1,6,2,1,3,3,7,4,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,10,2,1,3,3,8,4,1,3,2,5,3,6,1,2
6,1,5,2,6,2,1,1,11,2,1,3,3,7,7,1,3,2,5,4,5,1,2
6,1,4,1,3,2,1,1,4,1,1,2,2,5,5,1,3,2,3,2,6,1,1
6,4,3,2,6,2,1,1,11,2,1,3,3,4,4,1,3,2,5,3,6,1,2
6,1,5,1,6,2,2,1,4,2,3,3,3,8,8,1,3,2,1,3,1,2,2
6,3,9,2,7,2,1,2,6,1,3,3,3,8,8,1,3,2,5,4,5,2,1
6,4,4,2,6,2,1,1,7,2,1,3,3,7,7,1,3,2,5,4,6,1,2
3,1,5,2,6,2,1,1,6,2,1,3,3,8,8,1,3,2,5,4,5,1,2
6,1,5,2,6,2,1,1,7,2,1,3,3,4,7,1,3,2,5,3,6,1,2
6,4,4,2,6,2,1,1,10,2,1,3,3,7,8,1,3,2,5,3,5,1,2
6,4,4,2,6,2,1,1,11,2,1,3,3,7,7,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,4,5,1,2
3,1,5,2,6,2,1,1,10,2,1,3,3,4,8,1,3,2,5,3,6,1,2
6,1,4,2,6,2,1,1,10,2,1,3,3,8,4,1,3,2,5,3,5,1,2
3,1,4,2,6,2,1,1,6,2,1,3,3,4,7,1,3,2,5,4,6,1,2
6,4,3,2,6,2,1,1,10,2,1,3,3,4,4,1,3,2,5,4,6,1,2
6,1,3,2,6,2,1,1,6,2,1,3,3,8,8,1,3,2,5,3,6,1,2
6,3,9,2,7,2,1,2,6,1,3,3,3,8,8,1,3,2,5,3,5,2,1
3,1,4,2,6,2,1,1,6,2,1,3,3,8,8,1,3,2,5,3,5,1,2
6,1,4,2,6,2,1,1,7,2,1,3,3,4,7,1,3,2,5,3,5,1,2
3,4,3,2,6,2,1,1,11,2,1,3,3,8,7,1,3,2,5,3,5,1,2
3,4,4,2,6,2,1,1,7,2,1,3,3,7,7,1,3,2,5,3,5,1,2
6,4,5,2,6,2,1,1,11,2,1,3,3,8,8,1,3,2,5,4,5,1,2
6,4,3,2,6,2,1,1,11,2,1,3,3,4,8,1,3,2,5,4,6,1,2
6,1,3,2,6,2,1,1,11,2,1,3,3,8,8,1,3,2,5,4,6,1,2
6,4,3,2,6,2,1,1,11,2,1,3,3,4,8,1,3,2,5,3,6,1,2
3,1,4,2,6,2,1,1,6,2,1,3,3,7,4,1,3,2,5,4,6,1,2
6,1,4,2,6,2,1,1,7,2,1,3,3,8,8,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,8,7,1,3,2,5,4,5,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,7,7,1,3,2,5,4,5,1,2
6,4,4,2,6,2,1,1,6,2,1,3,3,7,7,1,3,2,5,3,5,1,2
6,1,4,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,4,5,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,7,7,1,3,2,5,3,6,1,2
3,1,5,2,6,2,1,1,11,2,1,3,3,4,7,1,3,2,5,4,5,1,2
6,4,5,2,6,2,1,1,10,2,1,3,3,4,8,1,3,2,5,3,6,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,7,4,1,3,2,5,3,6,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,7,4,1,3,2,5,3,5,1,2
6,1,5,2,6,2,1,1,10,2,1,3,3,7,4,1,3,2,5,4,6,1,2
6,1,5,2,6,2,1,1,7,2,1,3,3,4,8,1,3,2,5,4,5,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,4,7,1,3,2,5,3,6,1,2
3,1,4,2,6,2,1,1,6,2,1,3,3,7,7,1,3,2,5,4,6,1,2
6,1,3,2,6,2,1,1,10,2,1,3,3,8,8,1,3,2,5,4,6,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,4,4,1,3,2,5,4,5,1,2
6,3,6,1,2,2,1,2,3,1,1,3,3,8,8,1,3,2,5,3,5,1,1
6,1,3,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,4,6,1,2
3,1,5,2,6,2,1,1,11,2,1,3,3,7,4,1,3,2,5,3,6,1,2
6,1,5,2,6,2,1,1,11,2,1,3,3,7,7,1,3,2,5,3,6,1,2
3,1,3,2,6,2,1,1,10,2,1,3,3,7,4,1,3,2,5,4,5,1,2
6,4,3,2,6,2,1,1,6,2,1,3,3,8,4,1,3,2,5,3,6,1,2
6,1,4,2,6,2,1,1,11,2,1,3,3,8,4,1,3,2,5,4,6,1,2
6,1,4,2,6,2,1,1,6,2,1,3,3,7,8,1,3,2,5,4,6,1,2
6,1,4,2,6,2,1,1,7,2,1,3,3,4,8,1,3,2,5,3,5,1,2
6,1,4,2,6,2,1,1,10,2,1,3,3,7,4,1,3,2,5,4,6,1,2
3,1,4,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,4,6,1,2
6,1,3,2,6,2,1,1,10,2,1,3,3,8,4,1,3,2,5,4,5,1,2
3,4,5,2,6,2,1,1,7,2,1,3,3,7,4,1,3,2,5,3,6,1,2
3,4,3,2,6,2,1,1,10,2,1,3,3,4,8,1,3,2,5,3,5,1,2
6,4,4,2,6,2,1,1,10,2,1,3,3,8,8,1,3,2,5,4,6,1,2
6,4,4,2,6,2,1,1,11,2,1,3,3,7,7,1,3,2,5,3,6,1,2
6,1,4,2,6,2,1,1,6,2,1,3,3,7,8,1,3,2,5,3,6,1,2
6,1,4,1,3,2,1,1,4,1,1,2,2,1,1,1,3,2,3,2,6,2,1
6,4,5,2,6,2,1,1,10,2,1,3,3,8,7,1,3,2,5,3,5,1,2
6,4,3,2,6,2,1,1,7,2,1,3,3,4,7,1,3,2,5,4,6,1,2
6,1,5,2,6,2,1,1,11,2,1,3,3,7,4,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,8,8,1,3,2,5,4,6,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,7,8,1,3,2,5,3,5,1,2
3,1,4,2,6,2,1,1,6,2,1,3,3,8,8,1,3,2,5,3,6,1,2
3,1,4,2,6,2,1,1,7,2,1,3,3,7,8,1,3,2,5,4,6,1,2
6,4,4,2,6,2,1,1,11,2,1,3,3,7,7,1,3,2,5,4,6,1,2
6,1,4,1,6,2,2,1,5,2,3,3,1,8,8,1,3,2,1,4,1,2,2
6,4,4,2,6,2,1,1,6,2,1,3,3,8,8,1,3,2,5,3,6,1,2
6,1,3,2,6,2,1,1,7,2,1,3,3,8,7,1,3,2,5,3,6,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,7,7,1,3,2,5,3,5,1,2
6,4,3,2,6,2,1,1,6,2,1,3,3,4,8,1,3,2,5,4,6,1,2
6,1,4,2,6,2,1,1,7,2,1,3,3,8,8,1,3,2,5,4,5,1,2
6,1,5,2,6,2,1,1,7,2,1,3,3,4,4,1,3,2,5,3,6,1,2
6,4,3,2,6,2,1,1,11,2,1,3,3,8,7,1,3,2,5,4,5,1,2
6,1,5,2,6,2,1,1,11,2,1,3,3,8,7,1,3,2,5,3,5,1,2
3,1,4,2,6,2,1,1,7,2,1,3,3,8,8,1,3,2,5,3,6,1,2
6,4,4,2,6,2,1,1,6,2,1,3,3,4,8,1,3,2,5,3,6,1,2
6,4,4,2,6,2,1,1,10,2,1,3,3,8,7,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,10,2,1,3,3,7,8,1,3,2,5,4,6,1,2
6,1,4,2,6,2,1,1,7,2,1,3,3,4,4,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,4,7,1,3,2,5,4,5,1,2
6,4,3,2,6,2,1,1,7,2,1,3,3,7,8,1,3,2,5,3,5,1,2
6,1,5,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,3,6,1,2
6,4,4,2,6,2,1,1,11,2,1,3,3,4,7,1,3,2,5,3,5,1,2
3,1,4,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,3,5,1,2
6,1,4,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,4,5,1,2
6,1,5,2,6,2,1,1,11,2,1,3,3,4,4,1,3,2,5,3,5,1,2
6,4,4,2,6,2,1,1,11,2,1,3,3,7,8,1,3,2,5,4,5,1,2
6,4,4,2,6,2,1,1,7,2,1,3,3,8,7,1,3,2,5,4,6,1,2
6,4,3,2,6,2,1,1,6,2,1,3,3,8,7,1,3,2,5,4,5,1,2
6,4,5,2,6,2,1,1,11,2,1,3,3,7,4,1,3,2,5,3,5,1,2
6,4,4,2,6,2,1,1,10,2,1,3,3,8,4,1,3,2,5,3,6,1,2
3,4,5,2,7,2,1,2,5,1,3,3,3,8,8,1,3,2,5,3,4,6,1
6,3,4,1,6,2,2,1,6,2,3,1,3,8,8,1,3,2,1,4,4,2,2
6,1,4,2,6,2,1,1,10,2,1,3,3,4,7,1,3,2,5,3,5,1,2
6,1,3,2,6,2,1,1,6,2,1,3,3,8,4,1,3,2,5,3,6,1,2
6,3,6,1,2,2,2,2,10,1,1,3,3,8,8,1,3,2,5,4,4,1,1
6,4,5,2,6,2,1,1,11,2,1,3,3,7,7,1,3,2,5,3,6,1,2
6,1,3,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,3,5,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,8,8,1,3,2,5,4,6,1,2
6,4,3,2,6,2,1,1,10,2,1,3,3,7,4,1,3,2,5,3,5,1,2
6,3,9,1,6,2,2,1,5,2,3,3,3,8,8,1,3,2,1,4,4,2,2
3,1,4,2,6,2,1,1,7,2,1,3,3,4,7,1,3,2,5,4,5,1,2
6,4,4,2,6,2,1,1,6,2,1,3,3,4,7,1,3,2,5,4,5,1,2
6,4,4,2,6,2,1,1,6,2,1,3,3,7,7,1,3,2,5,4,5,1,2
6,1,3,2,6,2,1,1,6,2,1,3,3,4,8,1,3,2,5,4,6,1,2
6,4,4,2,6,2,1,1,6,2,1,3,3,7,8,1,3,2,5,3,5,1,2
6,4,4,2,6,2,1,1,11,2,1,3,3,8,7,1,3,2,5,4,5,1,2
6,1,3,2,6,2,1,1,7,2,1,3,3,4,7,1,3,2,5,3,6,1,2
3,4,9,2,7,2,1,2,7,1,3,3,3,8,8,1,3,2,5,4,5,6,1
3,1,5,2,6,2,1,1,10,2,1,3,3,8,8,1,3,2,5,4,6,1,2
6,1,3,2,6,2,1,1,11,2,1,3,3,4,8,1,3,2,5,3,6,1,2
6,1,3,2,6,2,1,1,6,2,1,3,3,7,7,1,3,2,5,4,5,1,2
6,4,4,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,3,5,1,2
3,3,9,1,6,2,2,1,4,2,3,1,1,8,8,1,3,2,1,3,4,2,2
6,1,5,1,6,2,2,1,5,2,3,1,3,8,8,1,3,2,1,4,1,2,2
6,1,5,2,6,2,1,1,11,2,1,3,3,7,7,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,6,2,1,3,3,7,4,1,3,2,5,4,5,1,2
6,4,3,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,4,6,1,2
6,4,3,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,4,6,1,2
6,4,3,2,6,2,1,1,7,2,1,3,3,7,8,1,3,2,5,4,6,1,2
3,1,5,2,6,2,1,1,11,2,1,3,3,8,7,1,3,2,5,3,6,1,2
6,1,4,2,6,2,1,1,11,2,1,3,3,8,8,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,11,2,1,3,3,8,4,1,3,2,5,3,5,1,2
3,1,3,2,6,2,1,1,6,2,1,3,3,8,7,1,3,2,5,4,6,1,2
6,4,3,2,6,2,1,1,11,2,1,3,3,7,7,1,3,2,5,4,5,1,2
6,3,9,1,2,2,2,2,7,1,1,3,3,8,8,1,3,2,5,4,4,1,1
3,1,5,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,3,6,1,2
3,1,4,2,6,2,1,1,7,2,1,3,3,7,7,1,3,2,5,4,6,1,2
3,1,5,2,6,2,1,1,10,2,1,3,3,8,8,1,3,2,5,3,5,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,7,4,1,3,2,5,3,5,1,2
6,1,3,2,6,2,1,1,11,2,1,3,3,4,7,1,3,2,5,3,6,1,2
3,3,9,1,6,2,2,1,6,2,3,1,3,8,8,1,3,2,1,4,4,2,2
6,4,4,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,4,6,1,2
6,1,3,2,6,2,1,1,7,2,1,3,3,7,7,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,6,2,1,3,3,8,4,1,3,2,5,4,5,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,3,5,1,2
6,4,5,2,6,2,1,1,6,2,1,3,3,4,8,1,3,2,5,3,6,1,2
6,4,4,2,6,2,1,1,6,2,1,3,3,8,7,1,3,2,5,4,6,1,2
6,4,5,2,6,2,1,1,6,2,1,3,3,8,8,1,3,2,5,3,5,1,2
6,1,4,2,6,2,1,1,10,2,1,3,3,7,8,1,3,2,5,4,6,1,2
6,4,5,2,6,2,1,1,11,2,1,3,3,8,8,1,3,2,5,3,6,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,8,7,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,7,8,1,3,2,5,4,6,1,2
6,4,4,2,6,2,1,1,6,2,1,3,3,8,7,1,3,2,5,4,5,1,2
6,4,3,2,6,2,1,1,11,2,1,3,3,7,7,1,3,2,5,3,6,1,2
6,4,5,2,6,2,1,1,6,2,1,3,3,7,7,1,3,2,5,3,6,1,2
6,1,4,1,3,2,1,1,3,1,1,2,2,5,1,1,3,2,3,2,6,5,1
3,1,4,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,3,5,1,2
6,4,3,2,6,2,1,1,10,2,1,3,3,4,4,1,3,2,5,3,5,1,2
6,1,4,1,3,2,1,1,4,1,1,2,2,7,1,1,3,2,3,2,5,1,1
6,4,3,2,6,2,1,1,6,2,1,3,3,8,8,1,3,2,5,3,5,1,2
6,1,3,2,6,2,1,1,6,2,1,3,3,8,4,1,3,2,5,3,5,1,2
6,1,4,1,3,2,1,1,4,1,1,2,2,1,5,1,3,2,3,2,6,1,1
6,1,6,1,2,2,2,2,6,1,1,3,3,8,8,1,3,2,5,4,4,1,1
6,1,4,2,6,2,1,1,10,2,1,3,3,8,8,1,3,2,5,3,5,1,2
3,1,4,2,6,2,1,1,7,2,1,3,3,7,4,1,3,2,5,4,6,1,2
6,1,4,2,6,2,1,1,10,2,1,3,3,8,7,1,3,2,5,4,5,1,2
6,4,4,2,6,2,1,1,11,2,1,3,3,8,7,1,3,2,5,3,6,1,2
6,4,4,2,6,2,1,1,6,2,1,3,3,8,4,1,3,2,5,4,5,1,2
3,1,4,2,6,2,1,1,6,2,1,3,3,4,4,1,3,2,5,4,6,1,2
6,1,4,2,6,2,1,1,11,2,1,3,3,8,7,1,3,2,5,4,6,1,2
6,1,3,2,6,2,1,1,7,2,1,3,3,4,7,1,3,2,5,3,5,1,2
6,1,5,2,6,2,1,1,11,2,1,3,3,8,8,1,3,2,5,3,6,1,2
6,4,5,2,6,2,1,1,10,2,1,3,3,7,4,1,3,2,5,3,5,1,2
3,1,5,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,3,6,1,2
3,1,5,2,6,2,1,1,10,2,1,3,3,7,8,1,3,2,5,4,5,1,2
3,1,4,2,6,2,1,1,6,2,1,3,3,7,4,1,3,2,5,3,6,1,2
6,1,4,2,6,2,1,1,7,2,1,3,3,8,4,1,3,2,5,3,6,1,2
6,4,5,2,6,2,1,1,10,2,1,3,3,7,7,1,3,2,5,4,5,1,2
6,4,3,2,6,2,1,1,11,2,1,3,3,7,4,1,3,2,5,4,5,1,2
3,1,5,2,6,2,1,1,10,2,1,3,3,7,4,1,3,2,5,4,5,1,2
6,4,4,2,6,2,1,1,6,2,1,3,3,7,8,1,3,2,5,4,5,1,2
6,4,5,2,6,2,1,1,10,2,1,3,3,7,4,1,3,2,5,3,6,1,2
6,1,9,1,2,2,1,2,3,1,1,3,3,8,8,1,3,2,5,3,5,1,1
3,1,5,2,6,2,1,1,10,2,1,3,3,8,7,1,3,2,5,3,6,1,2
6,4,3,2,6,2,1,1,11,2,1,3,3,7,8,1,3,2,5,4,5,1,2
6,4,5,2,6,2,1,1,6,2,1,3,3,4,4,1,3,2,5,4,6,1,2
3,1,4,2,6,2,1,1,6,2,1,3,3,7,7,1,3,2,5,3,5,1,2
6,1,3,2,6,2,1,1,11,2,1,3,3,8,7,1,3,2,5,3,6,1,2
6,1,4,1,3,2,1,1,7,1,1,2,2,1,7,1,3,2,3,2,6,1,1
6,4,3,2,6,2,1,1,6,2,1,3,3,8,7,1,3,2,5,3,6,1,2
3,1,4,2,6,2,1,1,7,2,1,3,3,4,4,1,3,2,5,4,5,1,2
3,4,3,2,6,2,1,1,11,2,1,3,3,8,8,1,3,2,5,3,5,1,2
6,1,3,2,6,2,1,1,7,2,1,3,3,7,7,1,3,2,5,4,5,1,2
6,1,4,1,3,2,1,1,7,1,1,2,2,1,7,1,3,2,3,2,5,2,1
6,4,5,2,6,2,1,1,11,2,1,3,3,8,4,1,3,2,5,4,6,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,4,7,1,3,2,5,3,5,1,2
6,4,5,2,6,2,1,1,7,2,1,3,3,4,8,1,3,2,5,3,5,1,2
6,4,5,2,6,2,1,1,6,2,1,3,3,8,8,1,3,2,5,3,6,1,2
6,4,4,2,6,2,1,1,10,2,1,3,3,8,4,1,3,2,5,4,6,1,2
6,4,5,2,6,2,1,1,6,2,1,3,3,8,4,1,3,2,5,3,6,1,2
6,1,4,2,6,2,1,1,7,2,1,3,3,4,4,1,3,2,5,3,6,1,2
6,4,3,2,6,2,1,1,6,2,1,3,3,7,7,1,3,2,5,3,6,1,2
6,4,3,2,6,2,1,1,6,2,1,3,3,7,8,1,3,2,5,3,5,1,2
